Country.Region,Province.State,1.22.20,1.23.20,1.24.20,1.25.20,1.26.20,1.27.20,1.28.20,1.29.20,1.30.20,1.31.20,2.1.20,2.2.20,2.3.20,2.4.20,2.5.20,2.6.20,2.7.20,2.8.20,2.9.20,2.10.20,2.11.20,2.12.20,2.13.20,2.14.20,2.15.20,2.16.20,2.17.20,2.18.20,2.19.20,2.20.20,2.21.20,2.22.20,2.23.20,2.24.20,2.25.20,2.26.20,2.27.20,2.28.20,2.29.20,3.1.20,3.2.20,3.3.20,3.4.20,3.5.20,3.6.20,3.7.20,3.8.20,3.9.20,3.10.20,3.11.20,3.12.20,3.13.20,3.14.20,3.15.20,3.16.20,3.17.20,3.18.20,3.19.20,3.20.20,3.21.20,3.22.20,3.23.20,3.24.20,3.25.20,3.26.20,3.27.20,3.28.20,3.29.20,3.30.20,3.31.20,4.1.20,4.2.20,4.3.20,4.4.20,4.5.20,4.6.20,4.7.20,4.8.20,4.9.20,4.10.20,4.11.20,4.12.20,4.13.20,4.14.20,4.15.20,4.16.20,4.17.20,4.18.20,4.19.20,4.20.20,4.21.20,4.22.20,4.23.20,4.24.20,4.25.20,4.26.20,4.27.20,4.28.20,4.29.20,4.30.20,5.1.20,5.2.20,5.3.20,5.4.20,5.5.20,5.6.20,5.7.20,5.8.20,5.9.20,5.10.20,5.11.20,5.12.20,5.13.2020,5.14.2020,5.15.2020,5.16.2020,5.17.2020,5.18.2020,5.19.2020,5.20.2020,5.21.2020,5.22.2020,5.23.2020,5.24.2020,5.25.2020,5.26.2020,5.27.2020,5.28.2020
Mexico,Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,5,7,8,11,14,17,21,24,32,38,47,54,58,67,74,82,89,99,109,121,133,149,156,166,180,190,196,199,211,220,236,256,279,286,297,321,347,379,415,437,450,481,508,546,586,628,663,691,705,737,789,828,884,926,960,1009,1067,1145,1219,1290,1367,1454,1561,1647,1761,1887,2035,2139,2267,2424,2552,2662
Mexico,Queretaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,4,4,5,6,7,8,9,10,13,15,16,16,18,19,20,22,24,25,27,31,34,36,39,42,44,47,51,51,54,57,60,64,65,66,72,80,88,90,93,93,99,106,112,121,133,139,143,150,157,168,189,215,233,266,292,312,347,387,415,438,474,522,554,584,618,653,678,705,743,778,812
Mexico,Quintana Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,6,6,8,11,13,15,20,26,30,36,41,49,55,67,71,78,87,99,117,132,152,158,176,192,214,220,225,235,251,271,303,331,345,368,400,439,464,496,525,545,576,598,630,672,735,775,790,799,831,871,899,939,973,987,1018,1034,1076,1098,1131,1164,1195,1233,1261,1305,1355,1436,1500,1559,1628,1703,1776
Mexico,San Luis Potosi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,6,8,9,8,8,9,13,14,18,19,19,19,19,19,22,25,26,31,34,36,38,41,43,42,41,42,42,46,48,50,49,51,54,58,62,69,72,80,92,98,107,120,133,144,163,174,199,212,233,250,269,288,306,322,351,376,402,422,448,470,499,534,583,622,656,701,748,781,815
Mexico,Sinaloa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,4,6,9,14,18,22,27,31,38,45,58,64,73,87,102,117,138,146,171,190,212,233,256,282,302,324,350,387,410,436,478,533,594,639,675,712,750,785,840,905,961,1006,1048,1073,1137,1198,1253,1326,1381,1404,1468,1519,1609,1687,1764,1847,1947,2040,2121,2231,2354,2479,2599,2666,2766,2889,3014
Mexico,Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,9,11,12,12,15,15,16,17,22,24,30,37,45,48,53,57,62,69,71,78,82,87,98,107,108,115,129,136,152,162,174,192,204,215,237,260,288,314,355,389,419,453,498,546,578,613,658,726,778,851,905,970,1068,1148,1211,1281,1340,1401,1444,1461,1514,1582,1650
Mexico,Tabasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,8,10,13,18,20,27,30,35,40,47,57,62,71,75,85,98,105,117,133,156,169,193,214,237,270,307,347,379,427,479,530,583,626,662,689,733,763,833,895,946,1003,1054,1095,1169,1262,1335,1414,1490,1546,1615,1695,1810,1931,2032,2137,2220,2319,2430,2558,2696,2867,3014,3171,3370,3520,3672
Mexico,Tamaulipas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,3,3,3,3,4,6,8,9,12,16,16,20,23,27,32,36,39,43,50,54,62,67,77,86,102,120,131,142,152,162,184,210,231,262,290,300,329,351,369,401,429,457,480,498,529,567,594,631,659,672,700,727,758,803,853,883,919,954,996,1051,1090,1149,1209,1271,1323,1381,1441
Mexico,Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,5,5,5,7,10,15,19,24,24,28,33,35,37,40,42,46,49,53,62,65,70,77,86,98,114,125,133,150,155,168,180,195,204,220,229,247,263,280,303,321,341,371,398,418,448,478,507,538,580,608,652,693,742,777,828,869,908,947
Mexico,Veracruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,4,5,6,8,8,9,12,13,15,16,17,18,22,25,29,32,35,38,46,51,58,65,76,85,91,96,113,135,155,170,190,204,230,255,294,332,371,396,435,488,535,587,653,712,773,833,899,978,1077,1163,1257,1333,1413,1507,1597,1737,1861,1989,2092,2200,2326,2433,2571,2707,2852,2979,3067,3183,3326,3470
Mexico,Yucatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,6,7,11,13,15,17,19,21,24,27,31,32,37,37,41,45,50,57,67,74,81,86,93,101,108,117,131,136,145,152,163,173,184,203,229,256,279,296,316,346,366,413,445,474,508,537,564,590,625,657,689,722,741,782,823,876,911,951,1010,1049,1097,1138,1203,1263,1333,1393,1443,1522,1592,1661
Mexico,Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,4,4,5,4,4,4,5,5,6,7,7,7,9,10,10,12,13,13,13,16,18,19,24,26,30,31,33,39,43,47,50,52,59,64,68,75,82,86,88,91,99,107,114,121,125,129,132,137,148,155,160,165,169,170,181,188,198,212,224,235,248,261,272
